"","s/no","name_of_hawker_centre","original_address","manager","address","latitude","longitude"
"1","1","Adam Food Centre","2, Adam Road, S(289876)","NEA","2 Adam Road","1.3240827139625","103.814182099841"
"2","2","Amoy Street Food Centre","National Development Building, Annex B, Telok Ayer Street, S(069111)","NEA","7 Maxwell Road","1.27923120988439","103.846619273977"
"3","3","Bedok Food Centre","1, Bedok Road, S(469572)","NEA","1 Bedok Road","1.32034716834128","103.955480570427"
"4","4","Beo Crescent Market","38A, Beo Crescent, S(169982)","NEA","38A Beo Crescent","1.28883089150258","103.827353892228"
"5","5","Berseh Food Centre","166, Jalan Besar, S(208877)","NEA","166 Jalan Besar","1.30734410946371","103.856888783769"
"6","6","Bukit Timah Market","51, Upper Bukit Timah Road, S(588215)","NEA","51 Upper Bukit Timah Road","1.33945242854685","103.776007306701"
"7","7","Chomp Chomp Food Centre","20, Kensington Park Road, S(557269)","NEA","20 Kensington Park Road","1.36423252476886","103.86652701738"
"8","8","Commonwealth Crescent Market","31, Commonwealth Crescent, S(149644)","NEA","31 Commonwealth Crescent","1.30707478767354","103.800432545798"
"9","9","Dunman Food Centre","271, Onan Road, S(424768)","NEA","271 Onan Road","1.30941788760759","103.901825408227"
"10","10","East Coast Lagoon Food Village","1220, East Coast Parkway, S(468960)","NEA","1220 East Coast Parkway","1.30726106591172","103.934799737098"
"11","11","Geylang Serai Market","Geylang Serai, S(402001)","NEA","Geylang Serai","1.31443381988689","103.896061152256"
"12","12","Golden Mile Food Centre","505, Beach Road, S(199583)","NEA","505 Beach Road","1.38082442969269","103.94650214837"
"13","13","Holland Village Market & Food Centre","1, Lorong Mambong, S(277700)","NEA","1 Lorong Mambong","1.31107297402127","103.794876419662"
"14","14","Kallang Estate Market","17, Old Airport Road, S(397972)","NEA","17 Old Airport Road","1.30734398370473","103.884017699319"
"15","15","Margaret Drive Hawker Centre","38A, Margaret Drive, S(142038)","NEA","38A Margaret Drive","1.29742585102203","103.804710471304"
"16","16","Market Street Hawker Centre","86, Market Street, CapitaSpring Building, S(048947)","NEA","86 Market Street","1.28405945173514","103.84988238435"
"17","17","Marsiling Mall Hawker Centre","4, Woodlands Street 12, S (738623)","NEA","4 Woodlands Street 12","1.43354318137534","103.77988189197"
"18","18","Maxwell Food Centre","1, Kadayanallur Street, S(069184)","NEA","1 Kadayanallur Street","1.28053790831335","103.844474807265"
"19","19","Newton Food Centre","500, Clemenceau Ave North, S(229495)","NEA","500 Clemenceau Ave North","1.31211427254136","103.839813174478"
"20","20","North Bridge Road Market & Food Centre","861, North Bridge Road, S(198783)","NEA","861 North Bridge Road","1.30614080746519","103.864099281276"
"21","21","Pasir Panjang Food Centre","121, Pasir Panjang Road, S(118543)","NEA","121 Pasir Panjang Road","1.27591797439292","103.791410908656"
"22","22","Sembawang Hills Food Centre","590, Upper Thomson Road, S(574419)","NEA","590 Upper Thomson Road","1.37231949296183","103.829018145089"
"23","23","Serangoon Garden Market","49A, Serangoon Garden Way, S(555945)","NEA","49A Serangoon Garden Way","1.36308501111104","103.866724949118"
"24","24","Taman Jurong Market & Food Centre","3, Yung Sheng Road, S(618499)","NEA","3 Yung Sheng Road","1.3347210661928","103.721583797451"
"25","25","Tanglin Halt Market","48A, Tanglin Halt Road, S(148813)","NEA","48A Tanglin Halt Road","1.30054407507427","103.797737980247"
"26","26","Tiong Bahru Market","30, Seng Poh Road, S(168898)","NEA","30 Seng Poh Road","1.28478559810371","103.832181546885"
"27","27","Zion Riverside Food Centre","70, Zion Road, S(247792)","NEA","70 Zion Road","1.2923422114207","103.831189023623"
"28","28","ABC Brickworks Market & Food Centre","Blk 6, Jalan Bukit Merah, S(150006)","Tanjong Pagar Town Council","6 Jalan Bukit Merah","1.28674226360795","103.808284856741"
"29","29","Albert Centre Market & Food Centre","Blk 270, Queen Street, S(180270)","Jalan Besar Town Council","270 Queen Street","1.30110201573423","103.854115779087"
"30","30","Alexandra Village Food Centre","Blk 120, Bukit Merah Lane 1, S(150120)","Tanjong Pagar Town Council","120 Bukit Merah Lane 1","1.28630594274136","103.804492637648"
"31","31","Blk 117 Aljunied Ave 2","Blk 117, Aljunied Ave 2, S(380117)","Marine Parade Town Council","117 Aljunied Ave 2","1.32064636781982","103.88702414"
"32","32","Blk 226D Ang Mo Kio Ave 1","Blk 226D, Ang Mo Kio Ave 1, S(564226)","Ang Mo Kio Town Council","226D Ang Mo Kio Ave 1","1.36681000469504","103.839142557804"
"33","33","Blk 341 Ang Mo Kio Ave 1","Blk 341, Ang Mo Kio Ave 1, S(560341)","Ang Mo Kio Town Council","341 Ang Mo Kio Ave 1","1.36410720984459","103.848242165861"
"34","34","Blks 160/162 Ang Mo Kio Ave 4","Blks 160/162, Ang Mo Kio Ave 4, S(560160/560162)","Ang Mo Kio Town Council","162 Ang Mo Kio Ave 4","1.3741075702016","103.838863921122"
