"","mall","latitude","longitude"
"1","100 AM","1.27468281482263","103.843488359469"
"2","313@Somerset","1.30101436404056","103.838360664485"
"3","Aperia","1.31086672816827","103.863929573292"
"4","Balestier Hill Shopping Centre","1.32616307866261","103.843741438467"
"5","Bugis Cube","1.2981408343975","103.855635339249"
"6","Bugis Junction","1.29981639742783","103.856094731885"
"7","Bugis+","1.29960368990297","103.854242347489"
"8","Capitol Piazza","1.29307884763132","103.851261982149"
"9","Cathay Cineleisure Orchard","1.30146393496315","103.836463810773"
"10","The Central","1.29852626425382","103.83687921612"
"11","The Centrepoint","1.3019783690418","103.839759023416"
"12","City Square Mall","1.31138865009152","103.856626209616"
"13","City Gate","1.30231590504573","103.862331661034"
"14","CityLink Mall","1.29260349413333","103.854316064564"
"15","Duo","1.29940490828991","103.858178555169"
"16","Far East Plaza","1.30731112598868","103.833939963454"
"17","Funan","1.29111964028141","103.849875038808"
"18","Great World City","1.29342272650003","103.832022146655"
"19","HDB Hub","1.33289113874462","103.847128310325"
"20","One Holland Village","1.31235581565984","103.793591894665"
"21","ION Orchard","1.30399286856099","103.831988903795"
"22","Junction 8","1.35017243180201","103.848553703258"
"23","Knightsbridge","1.3029831225958","103.836283923443"
"24","Liat Towers","1.30508722710852","103.830722581168"
"25","Lucky Plaza","1.3044637897474","103.834005158524"
"26","Marina Bay Sands","1.28240704314408","103.858392749523"
"27","The Shoppes at Marina Bay Sands","1.28423496027027","103.858982282698"
"28","Marina Bay Link Mall","1.28023825446086","103.853369662547"
"29","Marina Square","1.29111729179215","103.857758268089"
"30","Millenia Walk","1.29260544462492","103.859724944443"
"31","Mustafa Centre","1.31011213190394","103.855290873926"
"32","Ngee Ann City","1.30242417189411","103.834676124723"
"33","Orchard Central","1.30083890839245","103.839434733899"
"34","Orchard Gateway","1.30044325279546","103.839442780042"
"35","Orchard Plaza","1.30495005564842","103.832971130126"
"36","Midpoint Orchard","1.30178778502846","103.838659766022"
"37","Palais Renaissance","1.30665484543191","103.829588045188"
"38","People's Park Centre","1.28577009954433","103.84398012311"
"39","People's Park Complex","1.2848586083002","103.842578771326"
"40","Plaza Singapura","1.30082071769235","103.845067272938"
"41","GR.ID","1.30010826723486","103.849264127911"
"42","Raffles City","1.29407644483073","103.853331827088"
"43","Scotts Square","1.30576292435884","103.83308338186"
"44","Shaw House","1.30580981580562","103.831507365654"
"45","Sim Lim Square","1.30302298414827","103.853038663425"
"46","Singapore Shopping Centre","1.29815265394505","103.844111318107"
"47","The South Beach","1.29498804392056","103.856276242094"
"48","Square 2","1.32068386322064","103.844227088554"
"49","Sunshine Plaza","1.30039433798822","103.850892323466"
"50","Suntec City","1.29464674534007","103.859724361759"
"51","Tanglin Mall","1.30485342102105","103.823883490852"
"52","Tanjong Pagar Centre","1.27661464758769","103.843167023188"
"53","Tekka Centre","1.30617773048079","103.850609985486"
"54","The Adelphi","1.29118503658447","103.851184338699"
"55","The Paragon","1.30387230879994","103.835857545469"
"56","Tiong Bahru Plaza","1.28644021678218","103.827450721571"
"57","The Poiz","1.33145086608213","103.868371681137"
"58","Thomson Plaza","1.35432524209239","103.830328102928"
"59","United Square","1.31724362960663","103.844003130499"
"60","Thomson V","1.35342626634909","103.835628445378"
"61","Velocity@Novena Square","1.31929542501907","103.844191353077"
"62","Wheelock Place","1.30467628730252","103.830642027577"
"63","Wisma Atria","1.30370477426147","103.833205752808"
"64","Zhongshan Mall","1.32694504456951","103.846554377679"
"65","Bedok Mall","1.3247936058839","103.929360375114"
"66","Century Square","1.35226542880914","103.943384488656"
"67","Changi City Point","1.33403637902708","103.962917615531"
"68","Downtown East","1.37777584209542","103.95477359289"
"69","Djitsun Mall Bedok","1.32611970329469","103.929554495615"
"70","Eastpoint Mall","1.34270592355576","103.953024618234"
"71","Jewel Changi Airport","1.36006289399606","103.989989170512"
"72","KINEX","1.31461849889242","103.894738004768"
